Date,Sep,Opp,WL,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA
1980-10-11,@,ATL,L,93,101,92.1,100.0,101.0,.761,.090,.520,45.5,51.7,11.9,7.9,.433,21.8,25.6,.522,.438,15.5,60.3,.258
1980-10-15,@,IND,W,108,97,102.5,92.1,105.4,.466,.011,.509,54.0,53.8,10.4,8.6,.443,15.9,38.0,.341,.465,18.0,70.0,.212
1980-10-17,,CLE,W,98,79,102.7,82.8,95.4,.218,.011,.514,59.8,40.5,11.5,8.5,.483,15.9,38.5,.161,.399,15.2,75.5,.090
1980-10-18,,NJN,L,90,107,92.5,110.0,97.3,.333,.000,.484,53.9,48.6,8.2,8.4,.432,20.5,37.8,.247,.482,14.3,70.5,.325
1980-10-21,@,NYK,L,97,105,96.0,103.9,101.0,.225,.022,.496,60.0,38.1,7.9,5.0,.472,19.7,45.7,.146,.464,14.5,76.9,.321
1980-10-24,,WSB,W,104,96,108.2,99.9,96.1,.250,.011,.532,60.9,58.1,5.2,8.1,.489,15.6,41.9,.205,.470,14.8,79.5,.217
1980-10-25,@,MIL,L,93,109,99.3,116.3,93.7,.364,.000,.456,55.7,60.0,7.5,2.4,.398,18.4,50.9,.261,.548,13.7,61.4,.202
1980-10-28,,MIL,L,99,106,99.9,106.9,99.1,.372,.064,.545,54.5,54.1,4.0,10.1,.487,22.9,40.5,.295,.467,15.2,64.7,.244
1980-10-29,@,PHI,L,102,115,96.2,108.5,106.0,.291,.012,.526,53.0,64.3,7.5,9.8,.488,20.5,33.3,.209,.524,16.1,76.3,.354
1980-10-31,,IND,L,114,121,115.3,122.3,98.9,.351,.065,.641,57.6,40.0,13.1,9.8,.591,23.3,52.9,.299,.606,18.2,62.5,.212
1980-11-01,,DET,W,122,100,116.1,95.2,105.1,.268,.012,.665,56.7,49.0,8.6,12.5,.622,18.6,27.6,.244,.463,19.4,78.9,.293
1980-11-05,@,NJN,W,120,105,108.0,94.5,111.1,.577,.000,.613,60.0,66.7,9.9,8.0,.577,22.9,41.2,.385,.451,18.8,72.5,.239
1980-11-07,,ATL,W,103,100,,,,.659,.012,.487,60.0,60.0,,14.5,.427,18.5,,.402,.382,17.4,,.412
1980-11-08,,DEN,L,126,130,101.0,104.3,103.2,.265,.044,.499,57.9,40.0,7.2,7.6,.447,16.5,37.9,.221,.521,16.2,81.6,.313
1980-11-09,@,BOS,L,105,111,108.1,114.2,97.2,.333,.056,.509,53.8,46.3,4.1,1.1,.467,14.9,45.5,.233,.511,12.8,61.7,.185
1980-11-11,,PHI,L,80,121,72.0,109.0,111.0,.337,.034,.391,42.0,60.0,12.6,6.9,.337,17.7,23.8,.225,.552,20.5,73.0,.287
1980-11-14,@,DET,L,99,106,107.1,114.6,92.5,.466,.041,.563,48.7,38.9,13.0,8.4,.500,20.0,40.5,.356,.566,16.5,58.8,.145
1980-11-16,@,MIL,W,114,108,,,,.407,.000,.597,52.5,60.9,,4.3,.568,16.6,,.272,.465,9.3,,.150
1980-11-18,,BOS,L,112,113,,,,.512,.012,.532,52.5,33.3,,8.9,.453,11.7,,.395,.601,19.4,,.143
1980-11-21,,NYK,W,130,121,134.1,124.8,96.9,.284,.000,.657,58.7,50.9,6.2,7.1,.602,13.9,47.2,.273,.547,10.7,69.2,.314
1980-11-22,,WSB,W,114,101,109.2,96.7,104.4,.372,.000,.570,55.6,45.5,9.6,5.7,.512,16.7,36.6,.302,.468,18.0,71.4,.151
1980-11-26,@,SAS,L,122,125,,,,.645,.039,.625,44.6,65.9,,3.1,.553,13.3,,.500,.526,9.0,,.237
1980-11-28,@,PHO,L,101,102,94.0,94.9,107.4,.400,.050,.537,46.3,55.6,11.2,4.7,.469,22.3,24.3,.325,.500,20.2,65.1,.186
1980-11-30,@,LAL,W,122,108,116.4,103.1,104.8,.477,.012,.586,54.5,63.0,9.5,5.1,.535,14.0,37.5,.349,.442,13.2,64.3,.165
1980-12-02,@,DEN,W,129,124,118.3,113.7,109.0,.301,.010,.553,58.7,62.3,7.3,7.1,.515,14.0,44.0,.223,.500,11.7,76.2,.409
1980-12-03,@,SEA,L,105,113,102.4,110.2,102.5,.370,.043,.491,50.0,53.8,11.7,5.4,.429,13.0,34.7,.283,.533,20.1,74.2,.440
1980-12-05,@,POR,L,115,116,111.7,112.7,102.9,.548,.000,.635,53.4,75.6,7.8,4.3,.562,21.6,33.3,.452,.500,11.5,65.2,.234
1980-12-09,,PHO,L,108,123,103.0,117.3,104.9,.301,.048,.574,43.8,56.8,8.6,6.5,.542,19.0,24.3,.217,.564,15.4,60.5,.181
1980-12-10,@,PHI,L,100,113,94.5,106.8,105.8,.283,.022,.483,45.7,67.5,10.4,3.2,.435,16.9,30.6,.217,.516,16.0,62.2,.158
